;Format of textures:
;TextureName	Width	Height
*	AQLITE18    	0	64
AQLITE19    		64	128
*	AQLITE19    	0	0
*	AQLITE19    	0	64
AQLITE20    		64	128
*	AQLITE20    	0	0
*	AQLITE20    	0	64
AQLITE21    		64	128
*	AQLITE21    	0	0
*	AQLITE21    	0	64
AQLITE22    		64	128
*	AQLITE22    	0	0
*	AQLITE22    	0	64
AQLITE23    		64	128
*	AQLITE23    	0	0
*	AQLITE23    	0	64
AQLITE24    		64	128
*	AQLITE24    	0	0
*	AQLITE24    	0	64
AQLITE25    		64	128
*	AQLITE25    	0	0
*	AQLITE25    	0	64
AQMETL01    		64	128
*	AQMETL01    	0	0
*	AQMETL01    	0	64
AQMETL02    		64	128
*	AQMETL02    	0	0
AQMETL03    		128	128
*	AQMETL03    	0	0
AQMETL04    		128	128
*	AQMETL04    	0	0
AQMETL05    		128	128
*	AQMETL05    	0	0
AQMETL06    		128	128
*	AQMETL06    	0	0
AQMETL07    		64	128
*	AQMETL07    	0	0
AQMETL08    		64	128
*	AQMETL08    	0	0
AQMETL09    		64	128
*	AQMETL09    	0	0
AQMETL10    		64	128
*	AQMETL10    	0	0
AQMETL11    		64	128
*	AQMETL11    	0	0
AQMETL12    		64	128
*	AQMETL12    	0	0
AQMETL13    		128	128
*	AQMETL13    	0	0
AQMETL14    		128	128
*	AQMETL14    	0	0
AQMETL15    		64	128
*	AQMETL15    	0	0
AQMETL16    		64	128
*	AQMETL16    	0	0
AQMETL17    		64	128
*	AQMETL17    	0	0
AQMETL18    		64	128
*	AQMETL18    	0	0
AQMETL19    		64	128
*	AQMETL19    	0	0
AQMETL20    		64	128
*	AQMETL20    	0	0
*	AQMETL20    	0	64
AQMETL21    		64	128
*	AQMETL21    	0	0
AQMETL22    		64	128
*	AQMETL22    	0	0
AQMETL23    		64	128
*	AQMETL23    	0	0
AQMETL24    		64	128
*	AQMETL24    	0	0
AQMETL25    		64	128
*	AQMETL25    	0	0
AQMETL26    		64	128
*	AQMETL26    	0	0
AQMETL27    		64	128
*	AQMETL27    	0	0
AQMETL28    		64	128
*	AQMETL28    	0	0
*	AQMETL28    	0	64
AQMETL29    		64	64
*	AQMETL29    	0	0
AQMETL30    		64	128
*	AQMETL30    	0	0
*	AQMETL30    	0	64
AQMETL31    		64	64
*	AQMETL31    	0	0
AQMETL32    		64	128
*	AQMETL32    	0	0
*	AQMETL32    	0	64
AQMETL33    		64	128
*	AQMETL33    	0	0
*	AQMETL33    	0	64
AQPANL01    		128	128
*	AQPANL01    	0	0
AQPANL02    		128	128
*	AQPANL02    	0	0
AQPANL03    		128	128
*	AQPANL03    	0	0
AQPANL04    		128	128
*	AQPANL04    	0	0
AQPANL05    		128	128
*	AQPANL05    	0	0
*	AQPANL05    	0	64
AQPANL06    		128	128
*	AQPANL06    	0	0
*	AQPANL06    	0	64
AQPANL07    		128	128
*	AQPANL07    	0	0
*	AQPANL07    	0	64
AQPANL08    		64	128
*	AQPANL08    	0	0
AQPANL09    		64	128
*	AQPANL09    	0	0
AQPANL10    		64	128
*	AQPANL10    	0	0
AQPIPE01    		64	128
*	AQPIPE01    	0	0
AQPIPE02    		64	128
*	AQPIPE02    	0	0
AQPIPE03    		64	128
*	AQPIPE03    	0	0
AQPIPE04    		64	128
*	AQPIPE04    	0	0
AQPIPE05    		64	128
*	AQPIPE05    	0	0
AQPIPE08    		64	128
*	AQPIPE08    	0	0
AQPIPE09    		128	128
*	AQPIPE09    	0	0
AQPIPE10    		128	128
*	AQPIPE10    	0	0
AQPIPE11    		128	128
*	AQPIPE11    	0	0
AQPIPE12    		128	128
*	AQPIPE12    	0	0
AQPIPE13    		128	128
*	AQPIPE13    	0	0
AQPIPE14    		128	128
*	AQPIPE14    	0	0
AQRUST01    		64	128
*	AQRUST01    	0	0
*	AQRUST01    	0	64
AQRUST02    		64	128
*	AQRUST02    	0	0
AQRUST03    		64	128
*	AQRUST03    	0	0
AQRUST04    		64	128
*	AQRUST04    	0	0
AQRUST05    		128	128
*	AQRUST05    	0	0
AQRUST06    		128	128
*	AQRUST06    	0	0
AQRUST07    		128	128
*	AQRUST07    	0	0
AQRUST08    		128	128
*	AQRUST08    	0	0
AQRUST09    		64	128
*	AQRUST09    	0	0
AQRUST10    		64	128
*	AQRUST10    	0	0
AQSUPP01    		32	128
*	AQSUPP01    	0	0
AQSUPP02    		128	128
*	AQSUPP02    	0	0
AQSUPP03    		64	128
*	AQSUPP03    	0	0
AQSUPP04    		16	128
*	AQSUPP04    	0	0
AQSUPP05    		16	128
*	AQSUPP05    	0	0
AQSUPP06    		16	128
*	AQSUPP06    	0	0
AQSUPP07    		16	128
*	AQSUPP07    	0	0
AQSUPP08    		32	128
*	AQSUPP08    	0	0
AQSUPP09    		64	128
*	AQSUPP09    	0	0
AQSUPP10    		16	128
*	AQSUPP10    	0	0
AQSUPP11    		16	128
*	AQSUPP11    	0	0
AQSUPP12    		64	128
*	AQSUPP12    	0	0
*	AQSUPP12    	0	64
AQTRIM01    		128	128
*	AQTRIM01    	0	0
*	AQTRIM01    	0	16
*	AQTRIM01    	0	32
*	AQTRIM01    	0	48
*	AQTRIM01    	0	64
*	AQTRIM01    	0	80
*	AQTRIM01    	0	96
*	AQTRIM01    	0	112
AQTRIM02    		128	128
*	AQTRIM02    	0	0
*	AQTRIM02    	0	16
*	AQTRIM02    	0	32
*	AQTRIM02    	0	48
*	AQTRIM02    	0	64
*	AQTRIM02    	0	80
*	AQTRIM02    	0	96
*	AQTRIM02    	0	112
AQTRIM03    		128	128
*	AQTRIM03    	0	0
*	AQTRIM03    	0	8
*	AQTRIM03    	0	16
*	AQTRIM03    	0	24
*	AQTRIM03    	0	32
*	AQTRIM03    	0	40
*	AQTRIM03    	0	48
*	AQTRIM03    	0	56
*	AQTRIM03    	0	64
*	AQTRIM03    	0	72
*	AQTRIM03    	0	80
*	AQTRIM03    	0	88
*	AQTRIM03    	0	96
*	AQTRIM03    	0	104
*	AQTRIM03    	0	112
AQTRIM04    		128	128
*	AQTRIM04    	0	0
*	AQTRIM04    	0	16
*	AQTRIM04    	0	32
*	AQTRIM04    	0	48
*	AQTRIM04    	0	64
*	AQTRIM04    	0	80
*	AQTRIM04    	0	96
*	AQTRIM04    	0	112
AQTRIM05    		128	128
*	AQTRIM05    	0	0
*	AQTRIM05    	0	8
*	AQTRIM05    	0	16
*	AQTRIM05    	0	24
*	AQTRIM05    	0	32
*	AQTRIM05    	0	40
*	AQTRIM05    	0	48
*	AQTRIM05    	0	56
*	AQTRIM05    	0	64
*	AQTRIM05    	0	72
*	AQTRIM05    	0	80
*	AQTRIM05    	0	88
*	AQTRIM05    	0	96
*	AQTRIM05    	0	104
*	AQTRIM05    	0	112
AQTRIM06    		128	128
*	AQTRIM06    	0	0
*	AQTRIM06    	0	64
AQTRIM07    		128	128
*	AQTRIM07    	0	0
*	AQTRIM07    	0	64
AQTRIM08    		64	128
*	AQTRIM08    	0	0
*	AQTRIM08    	0	16
*	AQTRIM08    	0	32
*	AQTRIM08    	0	48
*	AQTRIM08    	0	64
*	AQTRIM08    	0	80
*	AQTRIM08    	0	96
*	AQTRIM08    	0	112
AQDIRT01    		64	128
*	AQDIRT01    	0	0
AQDIRT02    		64	128
*	AQDIRT02    	0	0
*	AQDIRT02    	0	64
AQDIRT03    		128	128
*	AQDIRT03    	0	0
AQBRIK01    		64	128
*	AQBRIK01    	0	0
*	AQBRIK01    	0	64
AQBRIK02    		64	128
*	AQBRIK02    	0	0
*	AQBRIK02    	0	64
AQBRIK03    		64	128
*	AQBRIK03    	0	0
*	AQBRIK03    	0	64
AQSECT01    		128	128
*	AQSECT01    	0	0
AQSECT02    		64	128
*	AQSECT02    	0	0
AQSECT03    		64	128
*	AQSECT03    	0	0
AQSECT04    		128	128
*	AQSECT04    	0	0
AQSECT05    		128	128
*	AQSECT05    	0	0
AQSECT06    		64	128
*	AQSECT06    	0	0
AQSECT07    		64	128
*	AQSECT07    	0	0
AQSECT08    		128	128
*	AQSECT08    	0	0
AQSECT09    		128	128
*	AQSECT09    	0	0
AQSECT10    		128	128
*	AQSECT10    	0	0
AQSECT11    		128	128
*	AQSECT11    	0	0
AQSECT12    		128	128
*	AQSECT12    	0	0
AQSECT13    		128	128
*	AQSECT13    	0	0
AQSECT14    		128	128
*	AQSECT14    	0	0
AQSECT15    		128	128
*	AQSECT15    	0	0
AQSECT16    		128	128
*	AQSECT16    	0	0
AQCOMP01    		256	128
*	AQCOMP01    	0	0
AQTILE01    		64	128
*	AQTILE01    	0	0
*	AQTILE01    	0	64
AQTILE02    		64	128
*	AQTILE02    	0	0
*	AQTILE02    	0	64
AQTILE03    		64	128
*	AQTILE03    	0	0
*	AQTILE03    	0	64
AMOD1       		64	128
*	AMOD1       	0	0
SHAWN01     		128	128
*	SHAWN01     	0	0
SHAWN02     		128	128
*	SHAWN02     	0	0
SHAWN03     		128	128
*	SHAWN03     	0	0
MOD1        		64	128
*	MOD1        	0	0
MOD2        		128	128
*	MOD2        	0	0
MOD3        		64	128
*	MOD3        	0	0
MOD4        		64	128
*	MOD4        	0	0
MOD5        		64	128
*	MOD5        	0	0
DEXAL       		128	128
*	DEXAL       	0	0
BASE        		128	128
*	BASE        	0	0
BASE2       		128	128
*	BASE2       	0	0
BASE3       		128	128
*	BASE3       	0	0
GLASS2B     		64	96
*	GLASS2B     	0	0
GLASS1B     		64	96
*	GLASS1B     	0	0
GLASS2      		64	96
*	GLASS2      	0	0
GLASS1      		64	96
*	GLASS1      	0	0
;End
